;How many people love *_OK GO?_*;;
;Niggerfaggot MUSIC IN THE MUSIC HAHA;;
;1:58 Mindblown;;
;"What's with their obsession with paper..___
Good song tho__";;
;This is so trippy!;;
;I don't really care for their music, but I'm always blown away by their videos.;;
;0:05 how dare you waste that one piece of paper;;
;I just got an papercut thanks alot.;;
;This video is retarded!;;
;It's slowed down? No, they sped up the footage.;;
;"We are living in the last days_. Jesus Christ _ will return soon for His bride_ (church) 1 Thess. 4:13-18 (by catching up in the clouds_). We need to WAKE UP _& accept forgiveness of our sins through Jesus' agonizing death on the cross. He paid the price of our sins freely out of His deep LOVE _ for us. Mankind _ is turning from the Lord God in blatant disobedience calling _ evil good and _good evil & we are under His judgment. He is a loving Father, but also a righteous Judge. Let's REPENT before it's too late. We do not want to be left behind. Cry out to Jesus today & ask Him to be Lord over your lives then turn from sin. If left behind, please seek Jesus as your Savior for the Great Tribulation, which will be unfathomable, will begin after the rapture. WARNING : Do NOT take the mark of the beast (perhaps the RFID chip or bar code) in righthand or forehead required to buy or sell, for those who take it cannot be saved. 
Bible References _: (John 5:24-30;  Eph. 2:1-10,I Thes.4:9-5:11, Zech. 2:8-9, Rev.3:22, Rev. 7:9-17) 
 https://www.ucg.org/bible-study-tools/booklets/heaven-and-hell-what-does-the-bible-really-teach/will-a-loving-god-punish";;
;Happy Holidays :-)! https://youtu.be/gDFAynIpwIc;;
;Dunder Mifflin be making BANK cus of this video;;
;What’s he sign at 1:44? I could look at a chart and go frame by frame but someone could probably do it better and faster than me;;
;"Wondering this, too...  Is it just ""obsession""?";;
;this'll put dunder mifflin out of business;;
;http://JobisMust.com/?refcode=12879;;
;If you have not heard of these guys before check out some of their other stuff, they always come up with some really artistic videos!;;
;their videos are always so interesting, but lately they ALL turn out to be commercials.  it's a bit off-putting frankly.;;
;Poor trees;;
;10000000000000000000000000000 of trees died on this video;;
;Great video but the singing and lyrics could use some work;;
;And I thought their previous music video was the best...boy was I sorely mistaken;;
;does anyone else hate their music but love their videos;;
;Brought to you by the Michael Scott paper company;;
;The Visual production is original, but their music? Not Good!;;
;Sorry guys, but the video is not gonna save your SHITTY song.;;
;y'all crazy passionate people;;
;Dang how much paper and ink did they use. _;;
;http://YesYesJob.com/?refer=2179;;
;THIS NEEDS MORE COWBELL;;
;what a waste.;;
;The only music videos I get excited about are OK Go's. They're always just so amazing...even when they're pretty much ads for things...like smooth paper. xD;;
;Its funny they talk about all the paper being recycled when anybody who actually cares knows that its the ink cartridges that fuck up the environment;;
;Wow! Great work to everyone that put so much time into this!;;
;This can not be real O: Masterpiece;;
;Meanwhile I can't even get my 3 page homework assignment to print;;
;i mean, it was cool. but less cool because they just used stopped animation to make it. it's not a video. but.. this was also just an ad... for paper....;;
;Ah, the Gods of YouTube are at it again;;
;Am I the only one who actually used to watch them 24/7?;;
;Everybody that clicked knew that this video was gonna be like a rube goldberg machine made out of nanobots or something;;
;The reason why dundermifflin is going out of business smh;;
;Gay;;
;Dis sux;;
;I love Ok Go SO MUCH!!! My dad got me into them with the treadmill video near the time it came out, and I’ve been hooked ever since. They deserve SO much fame!!!;;
;"real time: STARING MY FACE ON PAPER *prints slllllllllllowwwwwwwwwwwwwwwwwwwlllllllllllyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy IM NUMB TO BORDNESS *staring at an eletronic printer *im thinking this paper is so  smooooooooottttttttttttthhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh *staring at paper
CUT YOUR STARIN TO LONG :( but director NO";;
;2:58 There's just something so satisfying about this shot...;;
;this is cool wtf, I was only trying to see if Mic Drop was still trending but I'm watching this lol.;;
;Thanks Dunder Mifflin!;;
;Waste of fucking paper.;;
;Dont question the paper, question the printer ink. That must have been a fortune;;
;N;;
;Why are there so many scammers in this comment section.;;
;It's a popular video and that's what their algorithms search for.  Most of them are bots.;;
;Incredible;;
;Garbage;;
;First one that I didn't like. Had to happen sometime - but I still look forward to their next one :);;
;When I saw the intro I thought, oh man it's another one of those corny music videos with some trick behind it. Then i relized it was an OK go song. Phew!;;
;*I wonder how long this took to film holy shit*;;
;http://JobisMust.com/?refcode=13412;;
;Good grief.  Maybe they should concentrate on creating something worth listening to instead of creating a completely gimmicky video to distract from the crappy song.   Every. Single.Time.;;
;+1;;
;0:06 YOU'RE KILLING TREES U BASTARDS 0:10 oh my bad;;
;__________;;
;Yass I'm so glad y'all are back!!!!!;;
;download free: http://cutwi.in/HaG6;;
;http://cutwi.in/HaG6;;
;Haha I knew subscribing to this channel would pay off;;
;Just when I thought there was no way to top the anti gravity you pulled off another AMAZING video. I just can't imagine how much planning and work went into this. Hopefully there will be a behind the scenes video. AMAZING and AWESOME job! Thank you!;;
;forget the paper. what did you do with all the printers?;;
;everyone please check out my prank it’s hilarious I would appreciate the support !! https://youtu.be/f3XtwaJR-lA;;
;This is why I'm obsessed with these bois.;;
;Ocean 2B !;;
;-paper-;;
;they better pick up those papers after the video....;;
;GD SiNgh Read the begging...;;
;http://JobZipo.com/?refer=44727;;
;https://www.youtube.com/watch?v=gUK50HX4C_k&t=7s;;
;Ok Go always making Music Video Masterpieces_ (and songs);;
;Thank god they did this song. This is my favorite song on the album;;
;Compression hates this video;;
;Bravo!;;
;now we know what music sounds like when its 0% inspiration and 100% production;;
;mrkyburzy I guess I just have a different perspective, I think they have a great quality of music. I've seen them live and they have a lot of heart and put energy into their songs. I get what you're saying and I can see how you would think that way though.;;
;i have never been more tripped out by a video in my life;;
;lunarhdfree.blogspot.com;;
;Seizure warning_;;
;Seizure warning_;;
;Nice.;;
;__made possible by trees__;;
;"Band: ""We can't come up with a band name! What should we choose?"" 
Director: ""Video starting soon folks!"" 
Band: ""Quick, choose a name!"" 
Director: ""Starting in 3...2..1.. *Ok, go* "" 
Band: ""Eureka!""";;
;Great homage for the 30th (I mean 31st) Anniversary of Peter Gabriel's Sledgehammer! This was an homage, right?;;
;Hope u use all of there paper for something good.rip 3000 wood..but good song;;
;Ok Go's music videos are unbeatable;;
;You forgot Michael Jackson lol;;
;And yet again we have OK GO proving that they are the gods of music videos, and that everyone else is a bunch of unoriginal hacks! No but seriously this was awesome, which is expected. Awesome job guys.;;
;I was just wondering when there would be a new OKGO video.  You keep outdoing yourselves!;;
;I liked the part with the paper.;;
;Peter Gabriel vibes;;
;they shoulda gotten the paper from dunder mifflin...;;
;Adesh Bhullar no just no;;
;At least the paper is blank, so it can be reused.;;
;Fuck, I wrote this at 30sec in;;
;Oh my gosh..... never seen something quite as Amazing as that;;
;"""That was easy""";;
;https://www.facebook.com/Tabula-Paper-Productions-1774894872812793/;;
;Still gay in 2017.;;
;Reminds meof that oldPeter Gabriel video.;;
;"https://youtu.be/UZ6oyRnPUQA
Black Friday 2017 - USA";;
;Another jaw dropping video by OK Go. Love these brilliant guys and the creative people behind the scenes.;;
;https://youtu.be/UZ6oyRnPUQA;;
;1:58 i choked on noodle at this part;;
;https://youtu.be/UZ6oyRnPUQA;;
;You guys committed what is essentially an equivalent of a holocaust on trees just to do this music video.;;
;http://bestcashjob.com/?refer=29657 click this link for fast easy money!!!! _;;
;https://www.youtube.com/channel/UCZHOPFnTUBtOgPWx6DJ4uTQ;;
;when everyone like gay, hate gay just to be diff;;
;this song sucks ass;;
;Just when I was thought they can never topped their previous music videos, I kept getting proven wrong.;;
;sounds and looks gay;;
;___  ________ __ _____ ! ___ _____ __ __ ___ _____ _ ____ ____;;
;They never fail with their music videos.;;
;I spend a lot of time printing shit out for my job, and I have so much anxiety just imagining the kind of planning it took to make this video. Like Jesus Christ, I’m triggered. Whoever curated these prints deserves some goddamn respect.;;
;"What the
Fudge";;
;ahhhhhhhh I love it!!!ok go is back!! and making amazing, elaborate, conceptually beautiful  videos;;
;My eye is itchy from watching this __nice video;;
;Im trying to watching this and actually enjoy the video without thinking about how much time it took them to make this;;
;Another brilliant video! And good song too!!!;;
;They aren't even a band anymore. They're just cool music videos now.;;
;FODAAAAAAAAAAAAAAAAAAAA;;
;Dunder Mifflin, the people-person's paper people!!!!!;;
;dunder mifflin or nothing guys geeze;;
;Terrible;;
;Ruff ruff! (translation: please sub to me for my cuteness _____;;
;"This video was sloppy and unimpressive.
The song is also awkward and sucks.
Bah humbug.";;
;Well theres a wast of paper;;
;"Awesome stuff! Glad to hear it was all recycled, what a work of art though!
www.amazon.com/author/jnmorgan";;
;Shit this is insane;;
;that was the best music video I have ever seen;;
;yes my boys are back;;
;I mean the song is crappy but the video is nice;;
;I first discovered OK Go by way of their treadmill, Rube Goldberg machine, and marching band videos about 6 or 7 years ago. And I can say with certainty that they've only gotten better and more creative since then.;;
;Disperdiced paper;;
;That’s amazing! I recently heard that they also have a music band.;;
;Carai que merda em;;
;I got here from the trending list since BTS Mic Drop is #1 right now.;;
;Who knew printers could make such a good music video?;;
;I feel sorry for the people who had to clean up;;
;So strange. I was just now hoping for an OK Go vid & found this trending. Nice.;;
;O yeah! third on trending!;;
;What a waste of paper.;;
;These guys should be way more popular;;
;Who else was at an OK Go concert just a few weeks ago?;;
;they always come up with the coolest music videos;;
;These guys sure know how to make iconic videos even if I’m not a huge fan of their music;;
;*That cowbell though* __;;
;This is why ink prices are so high.... jerks :P;;
;Never been a fan of them. at least they actually play instruments... but they never disappoint with the videos!!!;;
;Knew this was a waste of data..;;
;Well that sucked.;;
;Well, in their defence, the trees were already dead.;;
;DON'T READ MY YOUTUBE NAME!!!!!!!;;
;DON'T READ MY YOUTUBE NAME!;;
;DON'T READ MY YOUTUBE NAME;;
;Be sure to drink your Ovaltine;;
;WOW !!!!!;;
;_______));;
;Omg that inc must have took in a lot Jesus were are you also it would be cool if you were on ASID;;
;come on, not one “Black Toner Running Low” message ruining the whole thing? Hard to believe, 15 full prints and youre already running low.;;
;So, they're running out of ideas?;;
;In all honesty, even though this band is really talented. Their videos are probably half of the reason why they're so popular.;;
;1500 office workers gave dislike;;
;"I'm confused what is trending now at days ?
*looks* OMFG BTS!!!
*looks down* (clicks) wat? 
Is
      This";;
;People in North Korea who operate color boards for background pictures in the ceremony will loose their jobs....XD;;
;OK STOP;;
;now add creativity.. yuck this is high school level.;;
;I feel like their music videos are more memorible than their music;;
;amazing as always!;;
;Cool video shitty music;;
;The thing that grabbed my attention is the printers_;;
;Welcome back with a bang!;;
;Please do a video on how you combined and controlled all the printers. I can barely get mine to use color or even print half of the time;;
;Wtf is this? It looks cool but the song sucks, way too repetitive.;;
;My head hurts, i feel dizzy and my stomach is upset bit it was a great idea and great video;;
;Every time paper came out of the printers it broke my heart;;
;_________! ______ ____ _____!;;
;Wow. Really. Just took it to a whole another level. Great job;;
;#3 on trending;;
;no thanks;;
;I clicked http://dollarstrue.com/?refer=17943 __;;
;NEW CURRY SHOES ON MY CHANNEL!!;;
;This video was cool!! I never heard of these guys until they started trending today. Very amazed at what they did with paper even shared the video. Lol;;
;Good god. How much money did they spend in printer ink by the end of this? My wallet is bleeding. *BLEEDING!*;;
;Bleeding...ink, perhaps?;;
;http://cashtolife.com/?invite=6133;;
;I've literally listened to this song 100 times. I think I'm OBSESSED!;;
;I don't like them or the video;;
;I see OK-Go and I click.  I have yet to be disappointed.;;
;They make amazing videos that I think are amazing and should be shared around the world_________;;
;They always have the best videos _;;
;"People will do anything to be ""different"" these days. Too many gimmicks in Hollywood. It's just too much because everyone does weird stuff like this for attention. Like Madonna and Gaga and Beyonce and One Direction and Beiber Fever. Everyone needs a cool name with a gimmick.
EDIT: However, OK Go does it the best =). Props to you.";;
;now this is how you do product placement;;
;the one and only AD that actually is on TRENDING on youtube, wow;;
;Alto Man_Zane not an ad, the video was sponsored by the paper company because paper is expensive.;;
;Maybe spend less time on your videos and more time on quality music.;;
;You guys have no limits in awesomeness !;;
;Terrible song but great video_;;
;______ __ _______! ____ - ___!;;
;That’s a lot of trees ___;;
;FIRE ____;;
;These videos are always awe  inspiring;;
;The most shocking thing they could do would be to make a good song;;
;wtf is this and why is it on the trending page?!;;
;Welcome to the world of OK GO;;
;"Are we sure this isn't Wang Chung's ""Everybody Have Fun Tonight""?";;
;Worst song in a long time. Also not really a great video as far as this band goes.;;
;I'm glad you recycled it, but why would you give any money to Greenpeace?;;
;___ ___;;
;"0:01 me:""wow, what a huge fucking waste of paper""
0:02 me:""did i just get rekt by ok go""";;
;I prefer BTS... Im sorry_;;
;what a waste of paper...Cool vid though. Still a fan.;;
;I’m getting a coldplay vibes for some reason;;
;4 minuets wasted watching paper being printed in differn't colors;;
;Many things only exist for entertainment and have no other value besides that. Whether they are meaningless or not is up to the viewer to interpret. In my opinion, though you don’t have to care, this was pretty amazing.;;
;OMG;;
;"Hey guys hope you all are having an amazing day! If you’re ever feeling down and need some positivity and encouragement give my channel and look I have some uplifting videos on there. Enjoy! ;)";;
;Their music videos are always so unique!;;
;GREAT EFFORT !;;
;Props to the IT guys setting up all those printers. Y'all the real MVP;;
;so creative as always! well done !;;
;How do they keep doing it they must be stopped;;
;"When Kathy lee and Hoda introduce you to your new *obsession*
I’m sorry";;
;Super corny, but I love it__;;
;wtf this is sponsored?? k this is how real sponsorship should be like;;
;um, needs more cowbell.;;
;Oh god I'm having a seizzzuurururureeeurrrureueieerr;;
;Subscribe and I will do 25 push-ups per subscriber;;
;"Trying this out, you can earn up to the minimum of $300 a week. First if you don't have PayPal get one and register (easiest way in my opinion). Secondly all you have to do is share the shit out of your link on almost any social media platforms. FB, Twitter, YouTube anything you can comment on do it. Just click on my link and check it out for yourself. Start grinding. Billions of people are on the internet 60 people clicking on your link for $5 per click. Do the math. 
http://YouthJobz.com/?refer=14500";;
;They never fail me, been watching them for almost 7 years now!;;
;I've waited 3 years for this and it was totally worth the wait;;
;Wow that was awesome!;;
;Creativity still exist;;
;http://JobisMust.com/?refcode=13153;;
;Wow estan en tendencia #2 , no se quienes son ?;;
;Wow estan en tendencia #2 , no se quienes son ?;;
;Congratulations on successfully marketing paper at me. Decent song, cool concept. I want more.;;
;Do you wanna play a fun game where you can play with millions of people and build with creativity? Play this game- https://www.roblox.com/My/Groups.aspx?gid=3594406&rbxp=92499180;;
;U must need a lot of patients for that;;
;OMG THAT’S SO COOL AND I WOULDVE NEVER THOUGHT OF THAT!!!;;
;Another masterpiece!;;
;Would’ve been better if it was Dunder Mifflin paper;;
;http://salarydaily.com/?cash=161965;;
;This videos soooooooo stupid;;
;AMAZING ! like always !;;
;Hahaha so HD you broke YouTube. You guys are the best. I can’t wait to see the behind the scenes of this one!;;
;Another great video, boys!;;
;COMASSIIIIIIMMMM;;
;Sponsored by Dunder Mifflin;;
;Always amazed by the quality of each music video they put out! Every song though is totally forgettable.;;
;God I wonder how much paper they used in this video?;;
;567 papers. REad the beginning;;
;Just when you think they should have run out of ideas, they do it again! Great work!;;
;Hey guys, ummm I got this final paper due and my printers out of ink....umm is there any chance...you could print it for me?;;
;gay as fuck;;
;They Skipped Trending #2;;
;They had to buy so much coloured ink;;
;click here now!! http://coiniz.com/?refer=6224;;
;"2:44 Fake. I see the strings. PS wtf is the printer that made that vibrant color? 
Was the color printed on the paper? or was it colored paper?";;
;kenalpha3 Yes, I see them too. But those are the ones attached to the harness supporting him as he does the flying bit? I don't think anyone thought he was actually flying and I think the important part, the printers, are real.;;
;Sponsored by hp;;
;You guys can never top Dunder Mifflin Paper Brand ___;;
;Anytim Ok Go makes a music video I'm here;;
;Yes! They made it on trending!;;
;Here is a legit way to make money not a scam no lies http://JobReo.com/?refcode=18606;;
;http://JobZipo.com/?refer=54139;;
;My god... I personally am not too big of a fan of the music style, but I always watch every single OK Go music video just because of how out there they are. zero G? they got a music video of it. Slow mo instant? Their your guys. Printers playing the video? you've got it. Boring old singing on some train tracks? yeah right. Go find a different musical artist for those conundrums.;;
;wuuuuuuuuuuuuuuuuuuuut xD;;
;https://www.gofundme.com/preparar-ensalada-dia-de-campo;;
;Am I the only person that’s worried for the tress;;
;OKGO never fails to impress on their music videos! Spectacular job once again!!!;;
;"Want to win $300 click the link below 
http://Coinrizo.com/?ref=9198";;
;YESS IT'S TRENDING! You guys deserve it!;;
;_____, ___ __ ___ ________ _________ ___ ______;;
;__ ___ ______ __ __ ________ ___ ____ ___ ______;;
;http://YouthJobz.com/?refer=33536;;
;I wonder how they manage to find time to think about the music part of their videos;;
;The visuals cant hide the fact the song is garbage, nor thats its a fucking commercial.;;
;pure geniuses;;
;Wasn't their last music video an advertisement also? I've loved these guys for years because of their music style and creative vision but if you only make stuff when you're guaranteed a check from a corporation other than your record label/sales then that's kind of disingenuous. Real, true artists make their creations whether it's paid or not, but now these guys only put out music when it's a guaranteed corporate deal.;;
;"After the initial shock and awe of the effort put into this all I can think about now is ""how many paper cuts did they get while making this?""";;
;I hope they recycled all that paper...;;
;A decent song would have helped;;
;OK GO never fails to keep me satisfied!;;
;Senseless non-artistic (modern art) garbage.;;
;How u define recycle;;
;"how
can
peoples
dislike
this
masterpiece
seriously how";;
;Why do record labels let Whites do creative videos like this...but Blacks have to wave guns in impoverished neighborhoods with skanks everywhere? Fucked up;;
;There should be more piles of paper on the floor...;;
;http://MyFixEarning.com/?refer=36692;;
;___ __ _______;;
;"rocking 
https://youtu.be/wkiQ_Ka2zYc";;
;They could have done it using green paper and going over it digitally like a traditional green screen, but nope, they gotta be extra;;
;Poor papers;;
;Good but so many PAPERS..;;
;https://soundcloud.com/paradox2025/80-deka-trailer-park-boyz;;
;Check out YURLOSN https://youtu.be/vIdf6VJlpzc;;
;*Well that's one way to advertise paper...*;;
;You guys need to chill the fuck out;;
;how many dead trees?;;
;____,____ _______ __ ___ __ ________;;
;Aaaaah, you guys crazy as always))) great music video! and thanks to Double A *thumb up*));;
;Michael Scott would love this;;
;Read the beginning if you didnt it's important;;
;I bet they recycle the ink cartridge, too.;;
;I do not envy the guy would has clean up all that paper..;;
;This is so dumb and a waste of paper. The video was cool but for what? The song totally blows. Great job guys, you just killed a thousand trees in an ttempt to go viral with your shity music. God, I'm so irritated.;;
;Jeremy benninghoven read the beginning lazy ass;;
;**paper is life**;;
;Ok Go;;
;A 3 minute ad for printer paper never sounded or looked so good;;
;The idea could have been cool but the clip looks like shit;;
;*PAPER*;;
;If you're scrolling down but didn't read the beginning read it now;;
;Because it shows why they used a bunch of paper;;
;_____ __ ______ _____, ____ __ _______ ____;;
;Pllayer064      [[[________ _______]]];;
;"Cmn people, you can do better! Not all of you are so stupid to think this is for real?! You are one big TV eaters. They can serve you anything and tell you it isn't. Get real. Use your head for thinking..
If you are really interested in paper shows, look at DPRC shows they stage in their halls and sqares";;
;"1) HP Printers on sale. Pick one up today.
2) Could have done this with basic CGI, what's the point of doing stop frame printer paper (not believable)
3) OK Go set up to make deal with HP with sell out corporate product song
4) Video sucks, ruins many songs
5) Have a good day.";;
;I low key just cheated on my girlfriend with this in the background. Didn't use a condom with the chick I cheated with.;;
;reminds me of Petshop Boys for some reason;;
;*i’m watching this to calm myself after the mic drop remix.;;
;They need to make a flying skateboards not this shit;;
;Some of this must be animated;;
;This song made me want to cheat on my girlfriend. So I just cheated on her with this playing in the background.;;
;I never felt so weirded out until I saw this video...;;
;I hope Kurt Eichenwald watches this & drops dead. _;;
;The song is complete shit but the printers are nice;;
;_____ _______ ______!;;
;"_________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
Is my reaction";;
;I remember listening to their song a long ass time ago You're so Damn Hot song;;
;_______ __ 3 ______;;
;«Dude perfect” fathers;;
;We broke the matrix? No, you top.notch.people don't know how to make a video for youtube. Ask your nephews.;;
;YOUVE FUCKING DONE IT AGAIN GENIUSES;;
;Oh look its trash.;;
;Tell it to China and India;;
;That’s a lot of paper thank god there recycling it;;
;I think this song is going to be very well received by the deaf community;;
;"I'm always inspired to be creative with my videos by these guys, but I can accept I'll never reach this level, damn that blows my mind!
Of course, the song is great too!";;
;Amazing;;
;_ what a waste RIP _ its cool tho;;
;OMG!!!;;
;___ __ _______ _______?;;
;Someone else who think that is computer graphic? Or I`m the only one who so paranoid?;;
;This video isn't an ad, it's sponsored, because it's expensive as all hell to do this stuff, and they shouldn't have to sell their houses to make cool videos.;;
;wow;;
;So know is gonna talk about the spirit bomb they just threw;;
;___ __ _______ _______?;;
;I hope that is Dunder Mifflin inc. paper!!;;
;Jonathan Henjum who got the sale Jim or Dwight;;
;_;;
;_____ ____!;;
;I’m obsessed with this.;;
;But why;;
;https://youtu.be/79iSRIt_Czg it’s lit _____;;
;that was awesome. as all your vids are!;;
;No trees were cut down in the making of this clip !!!!!!!!!!!!!;;
;Does anyone else think this video is Michael Scott’s idea?;;
;Every even number liker gets 1,000,000 dollars. Every odd liker gets 1,000,000 subscribers.;;
;Imagine the amount of programming this  took;;
;HOW;;
;The proceeds to Greenpeace? Lolololol;;
;OK GO, never failing to impress.;;
;wrote a rap for my dad who passed away recently and its up on my channel, this thanksgiving was the first one without him...please feel free to check it out if you or someone you know is going through the same thing, thank you so much and god bless __;;
;"http://salarydaily.com/?cash=161788
_________ jk idk if this actually works but who knows...finna go to antigua soo...";;
;Hoe many more times are they gonna outdo themselves?!;;
;YESS, IT'S ON TRENDING NOW. Totally deserved;;
;______ __________ Not really.;;
;"1 like = one day good luck
Scroll=10 years of bad luck
Go to search bar and put mukycruz and subscribe = good luck for the rest of your life";;
;__ ___ __ __ __;;
;I hope all that paper wuz recycled _;;
;At current ink cartridge prices this has to be the most expensive music video in history.;;
;Yet another amazing video.  Don't ever stop having the most original videos.;;
;Once again. Impressive.;;
;They have the best videos and the worst songs;;
;This is so impressive holy shit;;
;WHAT IN THE FLYING FUCK;;
;____ ____ __ _______)));;
;OK GO managed to break the bar set again. That was amazing... now time to binge the rest of the videos again :P;;
;https://youtu.be/8VHMATipJow check out the biggest fish in captivating;;
;http://JobZipo.com/?refer=20381;;
;damn how many paper cuts do u think the guy camera crew got picking those and stackin em up;;
;This isn't as fun as their other vids. The background as just messy and overly pixalated.;;
;"they actually fucking broke youtubes resolution
this was why idubbz, keem, and coco went down for a while";;
;Still no Dunder Mifflin though.;;
;fuck all that, whats all that he said in sign language;;
;Remember when Ok Go used to make good music, not just good videos?;;
;How did they coordinate that? Wow. That's amazing.;;
;I suspect they had to create software or something just for the images.;;
;_____! _______ ________ ________...;;
;how much paper is in this video?;;
;Ok Go is the best thing that's ever happened to music videos, this band is the only exciting thing to come out in the last 20 years.;;
;_______;;
;"Three things about *OK Go* that are pretty much a guarantee for me:
1) *Each time they release a new music video, I'm going to enjoy it.*
2) *I'm going to enjoy the song that the music has been put together for.*
3) *I will be smiling once the music video, and song have ended, due to having enjoyed what I saw and heard.*";;
;OH GREAT ANOTHER BRAND DEAL SELL OUTS;;
;I guess Ok Go is still doing the gimmick of trying to make creative videos. I miss when they just did rock music_;;
;"I am a fan of this OK GoChannel.
Check Out Whats coming soon...
https://goo.gl/oQGDho";;
;https://youtu.be/4DP2GxKRaF0;;
;I swear to god it all looks like cgi. It's incredible!;;
;___ __ _______?);;
;Well shit;;
;imagine if there was a paper jam;;
;More potcoin advocates..theyre at least that smart;;
;Yes;;
;So... Are they funding a terrorist organization?;;
;I hope they didnt waste all the fuckin paper!;;
;They donated the paper after the video, didn't you read that in the beginning of the video?;;
;Greenpeace... I hope they get cancer and all die. Fcking green terrorists;;
;Fantastic! Ever no ordinary video and banal music ... awesome group!;;
;Fake, if this was real half of the printers would jam or keep whirring for half an hour before jamming.;;
;Scissors. I win.;;
;Amazing!!!;;
;_____.;;
;This is sooo satisfying!;;
;____ _______;;
;Incredible;;
;If I dont get to see a behind the scenes I'm going to be dissaapointed;;
;Just got this song on iTunes, ur welcome for the dollar.;;
;"I felt like the song amounted to nothing, it was boring. The trick with printers just seemed excessive and indulgent without saying anything.
I want to like OK Go because they have been innovative and enjoyable to listen to. But anymore, their songs are inconsequential paired with the budget of a studio that just wants more gimmicks and more viral videos.";;
;This band has the best videos;;
;A ideia foi legal mas a música é chatinha. Já foram mais inovadores...;;
;All these other band rival eachother and produce so fast, like facebook. Buy OK go takes their time and produces slower but better, like youtube. Okgo has no rivals, they're in own category, a god category.;;
;They've been my favorite band since I was 10. 8 years later they still are. Best video band on the internet. No competition;;
;Feel like this was an great ad for printers;;
;I like cheeseburgers way too much!!;;
;Fucking Genius.;;
;*___ __ _______?*;;
;"https://www.pointsprizes.com/ref/2631913
Get legit free gift cards";;
;Great video.;;
;The wasting paper didn't bother me too much, except recycling paper is bad for the environment, which sucks.  Donating to Greenpeace kind of hurts my feelings though.  They are against nuclear energy, and GMO's,  which are 2 incredibly effective methods of reducing pollution and sustaining affordable food for the planet to stave off starvation of the masses.  Don't they also ram ships sometime?  sooooo ..... terrorists.;;
;"The only thing I can think of is ""imagine all the stuff we could used those papers for""";;
;Nightcore Natalie yeah, like making a bomb ass music video.;;
;My science teacher is obsessed with OK Go so I'm prolly gonna be seeing this in class for a while;;
;Conclusion - Double A Paper Ad;;
;It's not an ad, it's sponsored by the paper company because this shit is expensive.;;
;You guys never cease to amaze me. Another job greatly done! ____________________;;
;crazy;;
;_______ , ___ _____ - ______ __ _______;;
;http://YouthJobz.com/?refer=44556;;
;I come from https://www.facebook.com/Peckpalitchoke/photos/a.529788223761610.1073741825.146608108746292/1739175099489577/?type=3&theater;;
;What a waste of paper;;
;What do u mean, it's not wasting if they make a bomb ass video;;
;GREAT!;;
;"Bah...the stop motion SHIT is the opposite of why people watch these videos. Obviously not ""1 take"" since you stop the cam over and over.";;
;Imma obsessed with this song!!__;;
;#PeckPalit advised me to come.;;
;______mv_______??___________;;
;Nice to see some sign language (fingerspelling), but captions would have been even better.  :-)  Still, another great OK Go video!;;
;_______ __________;;
;Where’s the guy who miraculously counts the amount of paper used in the video?;;
;Fkn preach;;
;They recycled that right?;;
;Yes;;
;CGI...just cried.;;
;But it's not cgi;;
;best part 0:00 - 3:43;;
;So the whole video, nice;;
;-___;;
;I mean you can have a good video, but the song still sucks tho lmao;;
;Who can dislike this?;;
;"Melisma 
I just disliked ur comment, jk, like coming right up";;
;Tg5;;
;Love it;;
;You guys always amazing me;;
;Man Dunder Mifflin sure has changed;;
;I can't print a resume;;
;This probably took a year to make. WAIT? Is this an Ad or music video?;;
;"Robert Pirlot 
Both, if you believe";;
;Greenpeace is a terrorist organization, I can't believe you funded terror.;;
;TRUE;;
;http://bulkteller.com/?share=3061;;
;"Is it just me, or is Damian's odd guitar moves from 1:05 to 1:15 and reference to They Might Be Giants? (The band Ok Go would do the opening act to in the early 2000's) I'm asking because these gutair moves are very similar to John Flansburg's moves in the ""Don't let Start"" music video, and a want to know if it's an homage.";;
;"Snail Queen ""They Might Be Giants"" Do you mean the Courage The Cowardly Dog song?";;
;Really love the idea and the product but it makes me so distracted i cant process the actual song lol;;
;Girls!!! Check this Out  :D Luxury Bag !!! https://theclocktowergifts.com/collections/1/products/high-quality-patent-leather-women-bag-ladies-cross-body-messenger-shoulder-bags-handbags-women-famous-brands;;
;"emrahmete 
Don't check it out, he's a rape yall";;
;Want to see a funny video? https://www.youtube.com/watch?v=lbiTVDOUo2s;;
;No one check it out, it's a Minecraft Abotat, DON'T DO IT;;
;Probably the first music video of theirs I'm not really impressed by. Don't get me wrong, they kick ass but I'm not feeling this one, just doesn't have the WOW factor all their other stuff has had.;;
;Watching it multiple times usually lets me see all of the precise details they had to perfect.;;
;_____;;
;___ __ _______?;;
;"""Lets do this again, i forgot to record it""";;
;HOWWWW????;;
;Nunca había visto un video tan original, simplemente increíble y genial, esa satisfacción de diseño, y esa buena canción;;
;Wait.... this was a commercial?;;
