URL: https://www.youtube.com/watch?v=vNoKguSdy4Y,
,Someone knows the name of the man He is still my guy crush man song he so handsome
,APRIL 2018 anyone
,It all comes back in flashres  U know
,THAILAND 2018
,Who did taylor write the song about
,eOnce upon a time a few mistakes agoI was in your sights you got me aloneYou found me you found me you found meI guess you didnt care and I guess I liked thatAnd when I fell hard you took a step backWithout me without me without meAnd hes long gone when hes next to meAnd I realize the blame is on meCause I knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenTil you put me down ohI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleNo apologies Hell never see you cryPretends he doesnt know that hes the reason whyYoure drowning youre drowning youre drowningNow I heard you moved on from whispers on the streetA new notch in your belt is all Ill ever beAnd now I see now I see now I seeHe was long gone when he met meAnd I realize the joke is on me yeahI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenTil you put me down ohI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleAnd the saddest fear comes creeping inThat you never loved me or her or anyone or anything yeahI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenTil you put me down ohI knew you were trouble when you walked in you were right there you were right thereSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleI knew you were trouble when you walked inTrouble trouble troubleI knew you were trouble when you walked inTrouble trouble trouble
,Great job
,Melhor msica ever
,OOF TB
,This was for harry stiles or something like that
,This song about john mayer
,Whos watching in 2018  April
,How can be this song talking about harry Are harry that bad Is this song even talking about him Idk
,This is about Harry Styles for who dont know
,LOVE HER
,Who is here in 2018
,I like this songThough it was on 2012
,Ya
,Ya
,Once upon time A few mistakes agoI was in your sightsYou got me aloneYou found meYou found meYou found meI guess you didnt careAnd I guess I liked thatAnd when I fell hardYou took a step backWithout me without me without meAnd hes long goneWhen hes next to meAnd I realize the blame is on meCause I knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenSo you put me down ohI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleNo apologiesHell never see you cryPretend he doesnt knowThat hes the reason whyYoure drowning youre drowning youre drowningAnd I heard you moved onFrom whispers on the streetA new notch in your beltIs all Ill ever beAnd now I see now I see now I seeHe was long goneWhen he met meAnd I realize the joke is on meI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenSo you put me down ohI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleWhen your saddest fear comes creeping inThat you never loved me or her or anyone or anythingYeahI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenSo you put me down ohI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleI knew you were trouble when you walked inTrouble trouble troubleI knew you were trouble when you walked inTrouble trouble trouble
,BANANA
,2018And obsessed
,its not all her fault its his fault cause he is dum
,guau
,my car like this car
,like this song im a YouTuber
,400 Million View
,AM LYING ON THE COLD HEART GROUND YES I FOUND THIS ORIGINAL MEME YESSSSSSSSSSS
,QUEEN
,The worst part wasnt losing him it was losing me  when you love somebody so hard  and how you lost yourself when you should just learn to love yourself first
,So close to 400 mil swifties we can do it
,ok gzel hala dinliyorum
,Will anyone find my comment who sees this song in 2018
,April 2018 anyone
,When  was 15Now m 19 years old Forever swiftstill love this song
,I JUST LOVE HOW THE FIRST 2 MIN OF THIS VIDEO IS FRIKIN NOTHING
,2018 like si hablas espaol
,umm inappropriate but love the song
,Aaaaaahhhhhh
,In the beginning I did not Evey thing she was gone get to this song
,how did I get here again
,2018 anyone
,What if the song is actually about her relationship with the music industry
,harrys shaking
,Queen
,Who listening in 2018
,Am doing this song for my talent show at school
,Do you know something about the boyman
,I dont know if you know who you are until you lose who you are
,What a Beautiful Song I love itPS I also do coversSo can you please listen to mine too  tell me what you thinkHave a nice day Matej
,400 M go
,My fave f o r e v e r
,Paula I think its because the video is too long
,GUYS KEEP WATCHING BLANK SPACE AND SHAKE IT OFF lets make shake if off first female mv that reached 3B also it would be cool if you belong with me and look what you made me do reach 1B than taylor would have 5 mv with over 1B views WE CAN DO THIS
,Your wrong each account1 view
